iter	Passed	Remaining
0	59	59780
1	65	32862
2	73	24472
3	80	20046
4	87	17347
5	94	15685
6	102	14576
7	110	13658
8	117	12932
9	124	12361
10	132	11936
11	140	11547
12	147	11173
13	153	10817
14	160	10529
15	166	10215
16	172	9986
17	179	9777
18	185	9552
19	192	9423
20	198	9265
21	204	9104
22	215	9162
23	222	9038
24	230	8978
25	236	8853
26	242	8754
27	249	8651
28	256	8578
29	266	8604
30	272	8520
31	280	8494
32	287	8432
33	296	8411
34	303	8368
35	310	8326
36	316	8250
37	324	8220
38	331	8172
39	338	8133
40	346	8098
41	357	8156
42	363	8095
43	371	8062
44	378	8034
45	385	7994
46	392	7951
47	397	7893
48	405	7865
49	411	7818
50	418	7792
51	427	7785
52	434	7761
53	441	7735
54	447	7690
55	454	7668
56	461	7632
57	469	7629
58	476	7602
59	482	7555
60	489	7537
61	495	7490
62	502	7477
63	509	7454
64	516	7436
65	522	7400
66	528	7357
67	535	7335
68	544	7346
69	555	7379
70	561	7345
71	569	7339
72	575	7308
73	582	7283
74	588	7262
75	596	7250
76	604	7250
77	611	7227
78	617	7202
79	623	7172
80	629	7139
81	635	7109
82	640	7079
83	648	7075
84	655	7058
85	662	7035
86	668	7019
87	679	7043
88	685	7019
89	692	7006
90	699	6989
91	706	6969
92	714	6965
93	721	6956
94	728	6942
95	737	6942
96	744	6930
97	753	6934
98	760	6921
99	766	6902
100	773	6887
101	781	6876
102	788	6869
103	795	6854
104	801	6835
105	809	6823
106	816	6812
107	824	6808
108	831	6794
109	838	6785
110	846	6775
111	854	6778
112	862	6767
113	870	6766
114	879	6769
115	888	6767
116	894	6754
117	900	6733
118	907	6715
119	912	6694
120	919	6678
121	930	6698
122	936	6676
123	946	6684
124	952	6666
125	959	6653
126	965	6637
127	972	6623
128	979	6612
129	985	6592
130	991	6578
131	998	6564
132	1004	6547
133	1011	6537
134	1017	6517
135	1024	6508
136	1031	6496
137	1042	6510
138	1048	6494
139	1055	6481
140	1062	6473
141	1070	6466
142	1077	6457
143	1083	6441
144	1089	6426
145	1095	6409
146	1101	6394
147	1108	6381
148	1114	6366
149	1121	6354
150	1128	6343
151	1134	6331
152	1142	6325
153	1149	6315
154	1157	6309
155	1163	6293
156	1170	6282
157	1176	6272
158	1183	6258
159	1190	6251
160	1196	6237
161	1206	6239
162	1212	6227
163	1219	6217
164	1226	6206
165	1232	6193
166	1238	6180
167	1246	6175
168	1253	6165
169	1261	6158
170	1270	6160
171	1276	6146
172	1283	6134
173	1290	6124
174	1297	6114
175	1303	6103
176	1314	6110
177	1321	6102
178	1328	6093
179	1334	6079
180	1340	6065
181	1347	6055
182	1355	6049
183	1361	6037
184	1370	6037
185	1376	6022
186	1383	6014
187	1390	6003
188	1396	5990
189	1402	5978
190	1408	5966
191	1415	5957
192	1421	5945
193	1428	5934
194	1434	5922
195	1440	5908
196	1450	5913
197	1456	5901
198	1464	5894
199	1471	5884
200	1476	5871
201	1483	5860
202	1489	5848
203	1496	5840
204	1503	5832
205	1510	5821
206	1517	5813
207	1523	5801
208	1532	5801
209	1538	5787
210	1545	5777
211	1552	5769
212	1559	5761
213	1567	5757
214	1574	5747
215	1580	5735
216	1586	5725
217	1592	5713
218	1602	5713
219	1608	5701
220	1616	5698
221	1622	5687
222	1629	5677
223	1636	5668
224	1650	5684
225	1656	5672
226	1662	5661
227	1669	5653
228	1675	5642
229	1682	5633
230	1689	5623
231	1695	5613
232	1701	5600
233	1713	5607
234	1718	5595
235	1725	5585
236	1732	5578
237	1742	5577
238	1748	5568
239	1755	5559
240	1760	5545
241	1766	5534
242	1772	5523
243	1779	5513
244	1787	5509
245	1794	5499
246	1801	5491
247	1807	5481
248	1813	5470
249	1819	5457
250	1825	5447
251	1831	5437
252	1838	5428
253	1846	5423
254	1853	5414
255	1860	5406
256	1867	5400
257	1874	5390
258	1880	5381
259	1889	5377
260	1896	5369
261	1903	5360
262	1909	5350
263	1920	5353
264	1926	5344
265	1933	5334
266	1941	5329
267	1947	5317
268	1953	5308
269	1959	5298
270	1966	5289
271	1972	5280
272	1978	5269
273	1985	5261
274	1992	5253
275	2002	5252
276	2008	5242
277	2018	5243
278	2025	5233
279	2035	5233
280	2041	5224
281	2048	5215
282	2055	5208
283	2061	5198
284	2069	5192
285	2076	5183
286	2082	5173
287	2090	5169
288	2097	5161
289	2104	5152
290	2110	5141
291	2116	5131
292	2122	5122
293	2129	5113
294	2135	5104
295	2142	5096
296	2153	5096
297	2159	5087
298	2165	5076
299	2171	5067
300	2178	5057
301	2186	5054
302	2193	5044
303	2200	5038
304	2206	5028
305	2214	5023
306	2221	5013
307	2227	5005
308	2235	4999
309	2242	4991
310	2249	4983
311	2255	4973
312	2261	4964
313	2269	4957
314	2275	4947
315	2283	4943
316	2290	4934
317	2300	4933
318	2309	4930
319	2317	4924
320	2323	4914
321	2330	4907
322	2337	4899
323	2344	4890
324	2350	4882
325	2357	4874
326	2364	4867
327	2372	4859
328	2377	4849
329	2385	4842
330	2392	4835
331	2399	4827
332	2406	4819
333	2413	4811
334	2419	4803
335	2426	4795
336	2434	4788
337	2445	4790
338	2453	4784
339	2460	4776
340	2467	4768
341	2475	4762
342	2484	4758
343	2491	4750
344	2499	4745
345	2509	4744
346	2517	4737
347	2526	4733
348	2534	4727
349	2543	4723
350	2550	4716
351	2557	4708
352	2564	4700
353	2571	4692
354	2580	4688
355	2587	4680
356	2596	4676
357	2607	4675
358	2614	4668
359	2621	4660
360	2628	4653
361	2635	4645
362	2642	4636
363	2648	4628
364	2659	4627
365	2673	4631
366	2680	4622
367	2689	4618
368	2696	4610
369	2705	4607
370	2714	4601
371	2722	4596
372	2730	4589
373	2738	4583
374	2745	4575
375	2754	4570
376	2761	4562
377	2769	4557
378	2776	4550
379	2785	4545
380	2793	4537
381	2800	4530
382	2810	4527
383	2817	4519
384	2824	4511
385	2831	4503
386	2837	4495
387	2845	4488
388	2852	4480
389	2859	4472
390	2865	4463
391	2872	4455
392	2878	4446
393	2886	4439
394	2893	4431
395	2900	4424
396	2909	4419
397	2916	4411
398	2924	4404
399	2931	4397
400	2939	4391
401	2946	4382
402	2953	4375
403	2959	4366
404	2967	4359
405	2974	4351
406	2982	4346
407	2990	4338
408	2996	4330
409	3004	4323
410	3011	4315
411	3017	4306
412	3025	4299
413	3032	4291
414	3039	4284
415	3045	4276
416	3054	4269
417	3060	4261
418	3067	4253
419	3074	4246
420	3080	4236
421	3088	4229
422	3094	4221
423	3101	4213
424	3108	4205
425	3114	4196
426	3121	4188
427	3128	4181
428	3136	4174
429	3142	4165
430	3149	4157
431	3156	4150
432	3163	4141
433	3169	4133
434	3181	4132
435	3187	4123
436	3196	4118
437	3202	4108
438	3208	4100
439	3215	4092
440	3221	4083
441	3229	4077
442	3236	4068
443	3242	4060
444	3249	4052
445	3256	4044
446	3261	4035
447	3268	4027
448	3275	4020
449	3282	4012
450	3289	4004
451	3296	3996
452	3303	3988
453	3309	3980
454	3316	3973
455	3324	3965
456	3331	3957
457	3337	3950
458	3345	3943
459	3352	3935
460	3358	3927
461	3367	3921
462	3374	3914
463	3381	3906
464	3390	3900
465	3397	3892
466	3408	3890
467	3414	3881
468	3421	3874
469	3429	3866
470	3436	3859
471	3442	3850
472	3449	3843
473	3456	3835
474	3464	3829
475	3471	3821
476	3480	3815
477	3489	3810
478	3496	3802
479	3502	3794
480	3508	3785
481	3514	3777
482	3522	3770
483	3529	3763
484	3536	3754
485	3542	3746
486	3547	3737
487	3555	3729
488	3561	3721
489	3568	3713
490	3575	3706
491	3582	3698
492	3588	3690
493	3595	3683
494	3603	3676
495	3610	3668
496	3617	3661
497	3625	3654
498	3631	3645
499	3637	3637
500	3644	3629
501	3650	3621
502	3657	3614
503	3664	3606
504	3675	3603
505	3682	3595
506	3691	3589
507	3697	3581
508	3704	3573
509	3709	3564
510	3717	3557
511	3724	3550
512	3737	3547
513	3743	3539
514	3749	3531
515	3757	3524
516	3767	3519
517	3774	3511
518	3780	3503
519	3788	3496
520	3795	3489
521	3802	3481
522	3808	3473
523	3816	3467
524	3822	3458
525	3828	3450
526	3835	3442
527	3841	3434
528	3848	3426
529	3854	3418
530	3860	3409
531	3869	3404
532	3876	3396
533	3885	3391
534	3891	3382
535	3898	3375
536	3904	3366
537	3911	3358
538	3918	3351
539	3924	3342
540	3933	3337
541	3944	3332
542	3950	3325
543	3957	3317
544	3963	3309
545	3970	3301
546	3977	3293
547	3984	3286
548	3990	3278
549	4000	3272
550	4006	3264
551	4012	3256
552	4018	3248
553	4028	3243
554	4033	3234
555	4040	3226
556	4047	3218
557	4053	3210
558	4060	3203
559	4066	3195
560	4073	3187
561	4080	3179
562	4086	3172
563	4093	3164
564	4099	3156
565	4105	3148
566	4113	3141
567	4119	3133
568	4127	3126
569	4133	3117
570	4140	3110
571	4146	3102
572	4153	3095
573	4161	3088
574	4168	3080
575	4174	3072
576	4181	3065
577	4187	3057
578	4194	3050
579	4200	3041
580	4207	3034
581	4215	3027
582	4221	3019
583	4228	3012
584	4235	3004
585	4242	2997
586	4248	2988
587	4254	2980
588	4260	2973
589	4267	2965
590	4275	2959
591	4282	2951
592	4290	2944
593	4296	2936
594	4302	2928
595	4309	2921
596	4320	2916
597	4327	2908
598	4336	2903
599	4343	2895
600	4352	2889
601	4358	2881
602	4364	2873
603	4373	2867
604	4379	2859
605	4389	2854
606	4395	2846
607	4401	2837
608	4407	2829
609	4414	2822
610	4420	2814
611	4427	2806
612	4433	2798
613	4439	2791
614	4446	2783
615	4453	2776
616	4459	2768
617	4466	2760
618	4475	2754
619	4482	2747
620	4488	2739
621	4495	2731
622	4501	2724
623	4508	2716
624	4516	2709
625	4522	2702
626	4532	2696
627	4541	2690
628	4548	2682
629	4557	2676
