,Model,Precision,Recall,F1,Portion,NumSamples
0,logistic_regression,0.9869565217391307,0.8254545454545457,0.8990099009900985,0.001,96.0
1,decision_tree,0.9444444444444444,0.5563636363636365,0.7002288329519449,0.001,96.0
2,neural_network,0.9264069264069265,0.778181818181818,0.8458498023715415,0.001,96.0
3,cat_boost,0.9312714776632304,0.9854545454545458,0.9575971731448761,0.001,96.0
4,logistic_regression,0.9846743295019156,0.934545454545454,0.9589552238805971,0.005,481.0
5,decision_tree,0.9480000000000002,0.8618181818181814,0.9028571428571426,0.005,481.0
6,neural_network,0.7742857142857141,0.9854545454545458,0.8672000000000003,0.005,481.0
7,cat_boost,0.9532374100719424,0.9636363636363635,0.958408679927667,0.005,481.0
8,logistic_regression,0.8416988416988416,0.7927272727272728,0.8164794007490636,0.01,962.0
9,decision_tree,0.8885245901639341,0.9854545454545458,0.9344827586206894,0.01,962.0
10,neural_network,0.8937007874015747,0.8254545454545457,0.8582230623818528,0.01,962.0
11,cat_boost,0.984,0.8945454545454545,0.9371428571428575,0.01,962.0
12,logistic_regression,0.9873417721518988,0.850909090909091,0.9140625000000001,0.02,1925.0
13,decision_tree,0.9876543209876547,0.29090909090909095,0.44943820224719105,0.02,1925.0
14,neural_network,0.8995815899581587,0.7818181818181817,0.8365758754863813,0.02,1925.0
15,cat_boost,0.9947643979057593,0.6909090909090913,0.8154506437768241,0.02,1925.0
16,logistic_regression,0.984189723320158,0.9054545454545457,0.9431818181818182,0.03,2887.0
17,decision_tree,0.990384615384615,0.7490909090909094,0.8530020703933747,0.03,2887.0
18,neural_network,0.90625,0.10545454545454545,0.1889250814332248,0.03,2887.0
19,cat_boost,0.9797570850202427,0.8800000000000002,0.9272030651340996,0.03,2887.0
20,logistic_regression,0.9913793103448274,0.8363636363636361,0.9072978303747535,0.04,3850.0
21,decision_tree,0.9800000000000003,0.7127272727272728,0.8252631578947369,0.04,3850.0
22,neural_network,0.9333333333333335,0.5600000000000003,0.6999999999999998,0.04,3850.0
23,cat_boost,0.9039735099337745,0.9927272727272723,0.9462738301559791,0.04,3850.0
24,logistic_regression,0.9874476987447699,0.8581818181818179,0.9182879377431908,0.05,4812.0
25,decision_tree,0.9604316546762593,0.9709090909090907,0.9656419529837253,0.05,4812.0
26,neural_network,0.9344978165938863,0.778181818181818,0.8492063492063494,0.05,4812.0
27,cat_boost,0.941379310344828,0.9927272727272723,0.9663716814159291,0.05,4812.0
28,logistic_regression,0.9914529914529915,0.8436363636363636,0.9115913555992138,0.1,9625.0
29,decision_tree,0.9721115537848602,0.8872727272727272,0.9277566539923953,0.1,9625.0
30,neural_network,0.8896103896103896,0.4981818181818181,0.6386946386946388,0.1,9625.0
31,cat_boost,0.9513888888888892,0.9963636363636362,0.9733570159857904,0.1,9625.0
32,logistic_regression,0.8432835820895526,0.8218181818181821,0.8324125230202578,0.2,19250.0
33,decision_tree,0.9795081967213117,0.8690909090909092,0.921001926782274,0.2,19250.0
34,neural_network,0.7681564245810057,1.0,0.8688783570300161,0.2,19250.0
35,cat_boost,0.9880952380952376,0.9054545454545457,0.9449715370018977,0.2,19250.0
36,logistic_regression,0.9913793103448274,0.8363636363636361,0.9072978303747535,0.3,28874.0
37,decision_tree,0.9733840304182507,0.9309090909090912,0.9516728624535312,0.3,28874.0
38,neural_network,0.8461538461538461,1.0,0.9166666666666664,0.3,28874.0
39,cat_boost,0.9884615384615391,0.934545454545454,0.960747663551402,0.3,28874.0
40,logistic_regression,0.8429118773946361,0.8000000000000002,0.82089552238806,0.4,38499.0
