capacity,net_size,arrival_d0,arrival_d1,service_s,service_p,arrival_mean,arrival_rate,arrival_cv,arrival_skew,arrival_lag1,arrival_order,service_mean,service_rate,service_cv,service_skew,service_order,busy,precise_skipped,precise_delay,precise_delivery_prob,precise_last_system_size,precise_elapsed,precise_max_inp_order,precise_max_out_order,precise_m1_err,precise_cv_err,precise_skew_err,precise_lag1_err
7,7,"[[-0.55955758  0.55955052]
 [ 0.         -3.13924981]]","[[7.05828313e-06 2.71011046e-18]
 [1.19702232e+00 1.94222749e+00]]","[[-1.84210388  1.84210388  0.          0.          0.          0.        ]
 [ 0.         -1.84210388  0.          0.          0.          0.        ]
 [ 0.          0.         -1.77862383  1.77862383  0.          0.        ]
 [ 0.          0.          0.         -1.77862383  1.77862383  0.        ]
 [ 0.          0.          0.          0.         -1.77862383  1.77862383]
 [ 0.          0.          0.          0.          0.         -1.77862383]]",[0.75098443 0.         0.24901557 0.         0.         0.        ],0.9999974481509823,1.0000025518555296,1.4397163691984631,2.941073873110738,2.0195592760094217e-06,2,1.3753736520667617,0.7270751468136015,0.7308878391295173,1.4007222628551148,6,1.3753771618216208,True,,,,,,2677850419968,,,,
5,5,"[[-108.42431293  108.42431293    0.            0.        ]
 [   0.         -108.42431983    0.            0.        ]
 [   0.            0.           -0.908532      0.90849405]
 [   0.            0.            0.           -0.90847526]]","[[7.49588593e-18 0.00000000e+00 8.04825004e-19 1.80660618e-18]
 [7.84895319e+01 8.03144651e-03 2.99175534e+01 9.20311877e-03]
 [7.19937146e-18 0.00000000e+00 3.79518085e-05 0.00000000e+00]
 [3.07096205e-01 5.89640214e-18 6.01379054e-01 1.00453113e-19]]","[[-69.3607132   69.3607132    0.           0.           0.
    0.           0.           0.           0.           0.        ]
 [  0.         -69.3607132   69.3607132    0.           0.
    0.           0.           0.           0.           0.        ]
 [  0.           0.         -69.3607132   69.3607132    0.
    0.           0.           0.           0.           0.        ]
 [  0.           0.           0.         -69.3607132   69.3607132
    0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.         -69.3607132
    0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.
   -1.02193111   1.02193111   0.           0.           0.        ]
 [  0.           0.           0.           0.           0.
    0.          -1.02193111   1.02193111   0.           0.        ]
 [  0.           0.           0.           0.           0.
    0.           0.          -1.02193111   1.02193111   0.        ]
 [  0.           0.           0.           0.           0.
    0.           0.           0.          -1.02193111   1.02193111]
 [  0.           0.           0.           0.           0.
    0.           0.           0.           0.          -1.02193111]]","[0.6571808 0.        0.        0.        0.        0.3428192 0.
 0.        0.        0.       ]",0.999642925143768,1.000357202404229,1.5066388690487853,1.92718254610312,0.2006405297808437,4,1.7246848455232806,0.5798160763084768,1.5205613655183892,1.482688151078438,10,1.7253009070966392,True,,,,,,6722800000,,,,
6,5,"[[-0.49410881  0.49410316]
 [ 0.         -1.15240517]]","[[5.64714108e-06 4.27138326e-18]
 [7.53191615e-02 1.07708600e+00]]","[[-4.77096507  4.77096507  0.          0.          0.          0.
   0.          0.        ]
 [ 0.         -4.77096507  4.77096507  0.          0.          0.
   0.          0.        ]
 [ 0.          0.         -4.77096507  4.77096507  0.          0.
   0.          0.        ]
 [ 0.          0.          0.         -4.77096507  0.          0.
   0.          0.        ]
 [ 0.          0.          0.          0.         -1.28787784  1.28787784
   0.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.28787784
   1.28787784  0.        ]
 [ 0.          0.          0.          0.          0.          0.
  -1.28787784  1.28787784]
 [ 0.          0.          0.          0.          0.          0.
   0.         -1.28787784]]","[0.87571785 0.         0.         0.         0.12428215 0.
 0.         0.        ]",1.0000261014041305,0.999973899277135,1.1273148880830577,3.035948937868962,1.1382606433778055e-06,2,1.1202120774495956,0.8926881080203274,0.8985561030685231,3.077665105677629,8,1.120182839104612,True,,,,,,2147483648,,,,
0,5,"[[-0.2719609   0.27195912]
 [ 0.         -2.21199295]]","[[1.77731247e-06 1.08992219e-15]
 [3.29612227e-01 1.88238073e+00]]","[[ -0.70137399   0.70137399]
 [  0.         -27.66346406]]",[0.36101659 0.63898341],0.999998507457624,1.0000014925446037,1.9833203926136933,4.914275328210179,2.0737683362174146e-06,2,0.5508764131062669,1.8152891941065823,1.9919700358447991,3.242535578400128,2,0.5508772353138846,False,2.754382094958568,0.23843992965444802,0.13135113041791757,2.4186820879986044,512.0,2048,0.0,0.0,0.0,0.0
10,9,"[[-7.69938249  7.69938088  0.          0.        ]
 [ 0.         -7.69891603  0.          0.        ]
 [ 0.          0.         -1.01576495  1.01560051]
 [ 0.          0.          0.         -1.01594084]]","[[1.62727629e-19 1.88577591e-20 1.61319610e-06 0.00000000e+00]
 [4.85694856e+00 4.70275836e-05 2.84158030e+00 3.40146724e-04]
 [5.42425429e-20 1.64441394e-04 2.37311125e-20 1.35606357e-20]
 [4.92004142e-01 0.00000000e+00 5.23936698e-01 0.00000000e+00]]","[[-0.07788012  0.07788012]
 [ 0.         -0.56656562]]",[0.00168328 0.99831672],0.9988044596371882,1.001196971390422,1.2561156304585586,2.13521370543341,0.0667571653428297,4,1.786634362321205,0.5597116125656479,1.0722359990809145,4.600349606917133,2,1.788772912538049,True,,,,,,10567230160896,,,,
4,8,"[[-17.91235227  17.91235227   0.           0.           0.
    0.           0.           0.           0.           0.        ]
 [  0.         -17.91235227  17.91235227   0.           0.
    0.           0.           0.           0.           0.        ]
 [  0.           0.         -17.91235227  17.91235227   0.
    0.           0.           0.           0.           0.        ]
 [  0.           0.           0.         -17.91235227  17.91235227
    0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.         -17.91216644
    0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.
   -2.75132852   2.75108296   0.           0.           0.        ]
 [  0.           0.           0.           0.           0.
    0.          -2.75108296   2.75108296   0.           0.        ]
 [  0.           0.           0.           0.           0.
    0.           0.          -2.75165337   2.75108296   0.        ]
 [  0.           0.           0.           0.           0.
    0.           0.           0.          -2.7512244    2.75108296]
 [  0.           0.           0.           0.           0.
    0.           0.           0.           0.          -2.75135319]]","[[3.03599573e-18 5.72976426e-18 8.54382057e-18 5.33671124e-19
  7.84411843e-19 0.00000000e+00 6.03254529e-19 0.00000000e+00
  3.00380604e-18 6.55653095e-19]
 [4.63256184e-20 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.40000387e-17 0.00000000e+00 0.00000000e+00
  0.00000000e+00 6.89731053e-18]
 [3.50388447e-18 2.23175652e-18 6.63478154e-18 2.41885908e-18
  0.00000000e+00 0.00000000e+00 3.72943398e-18 2.01326898e-18
  1.87016837e-18 8.12228463e-19]
 [5.13001957e-18 0.00000000e+00 0.00000000e+00 0.00000000e+00
  2.41962676e-18 0.00000000e+00 7.67095161e-19 3.77127594e-18
  2.73269756e-18 2.37031298e-18]
 [1.23327833e+01 1.34779878e-04 0.00000000e+00 1.99943257e-03
  1.74840825e-18 5.57724890e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.45554461e-04 0.00000000e+00 6.77677618e-19 0.00000000e+00
  0.00000000e+00 1.56950136e-17 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 5.90532512e-18 0.00000000e+00 7.94026394e-18
  4.39087302e-18 0.00000000e+00 2.71594335e-18 5.08246839e-18
  8.33703267e-18 8.67246014e-18]
 [2.06013996e-18 5.42142094e-20 2.16856838e-18 1.24745625e-18
  2.16179160e-18 5.70401581e-04 6.98007946e-19 1.45023010e-18
  4.40490452e-19 0.00000000e+00]
 [0.00000000e+00 1.44853591e-18 0.00000000e+00 4.23717931e-18
  0.00000000e+00 1.41439955e-04 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [9.71068694e-01 8.13213141e-19 3.02660613e-04 0.00000000e+00
  0.00000000e+00 1.77998183e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]","[[-0.33230079  0.33230079]
 [ 0.         -2.15546963]]",[0.19556482 0.80443518],0.999848724417124,1.0001512984706402,0.9524497543301116,1.1855317300407138,0.2179758006317463,10,1.052453494795711,0.9501607481422326,1.7548315767480889,4.179833434288662,2,1.0526127293998937,True,,,,,,4299816960,,,,
4,5,"[[-0.2836239   0.28361976]
 [ 0.         -2.14579539]]","[[4.13371944e-06 1.46329754e-16]
 [3.24968655e-01 1.82082674e+00]]","[[-5.26743382  5.26743382  0.          0.          0.          0.
   0.          0.          0.          0.        ]
 [ 0.         -5.26743382  5.26743382  0.          0.          0.
   0.          0.          0.          0.        ]
 [ 0.          0.         -5.26743382  5.26743382  0.          0.
   0.          0.          0.          0.        ]
 [ 0.          0.          0.         -5.26743382  5.26743382  0.
   0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.         -5.26743382  0.
   0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.96265533
   1.96265533  0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
  -1.96265533  1.96265533  0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.         -1.96265533  1.96265533  0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.         -1.96265533  1.96265533]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.         -1.96265533]]","[0.57515387 0.         0.         0.         0.         0.42484613
 0.         0.         0.         0.        ]",0.9999952281968388,1.0000047718259315,1.9228669116143795,4.8248560794658175,4.51126315511065e-06,2,1.628277482655499,0.6141459368271407,0.6946503605227302,1.4242675957079447,10,1.628285252512215,True,,,,,,1555200000,,,,
1,6,"[[-3.55084953e+03  3.55084949e+03  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -3.55084950e+03  3.55084949e+03  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -3.55084950e+03  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.00297198e+00
   1.00297198e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -1.00298553e+00  1.00297198e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00 -1.00298913e+00]]","[[3.35611768e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.45610380e-06 1.95039563e-16 8.83648247e-16 7.66688163e-16
  0.00000000e+00 9.68592013e-16]
 [3.52313530e+03 0.00000000e+00 0.00000000e+00 2.74549911e+01
  2.59205816e-01 0.00000000e+00]
 [0.00000000e+00 6.69470525e-16 6.83853284e-15 0.00000000e+00
  7.89424528e-15 2.45491164e-15]
 [1.35575957e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 3.61725017e-15]
 [1.54564184e-02 0.00000000e+00 2.16908566e-15 9.87532708e-01
  0.00000000e+00 0.00000000e+00]]","[[-0.11122726  0.11122726]
 [ 0.         -0.56164495]]",[0.00522935 0.99477065],1.005528335397517,0.994502059063973,1.721587607281795,1.9127379309287984,0.6502146688351943,6,1.8274992638132868,0.5471958428663798,1.096209578359,4.225317584186692,2,1.8174517808002089,True,,,,,,279936,,,,
8,10,"[[-0.31721108  0.3172089 ]
 [ 0.         -1.45430315]]","[[2.18738838e-06 2.64688396e-16]
 [1.44110925e-01 1.31019223e+00]]","[[-3138.8640466   3138.8640466      0.             0.
      0.             0.             0.        ]
 [    0.         -3138.8640466   3138.8640466      0.
      0.             0.             0.        ]
 [    0.             0.         -3138.8640466   3138.8640466
      0.             0.             0.        ]
 [    0.             0.             0.         -3138.8640466
      0.             0.             0.        ]
 [    0.             0.             0.             0.
     -5.27886028     5.27886028     0.        ]
 [    0.             0.             0.             0.
      0.            -5.27886028     5.27886028]
 [    0.             0.             0.             0.
      0.             0.            -5.27886028]]","[0.28549813 0.         0.         0.         0.71450187 0.
 0.        ]",1.0000034845774908,0.9999965154346516,1.531276327566837,4.871815438637622,1.7814781868687745e-06,2,0.4064184473588832,2.46051823311298,0.928851922560434,0.9395562231833732,7,0.4064170311672445,True,,,,,,5649504980000000000,,,,
9,1,"[[-2.22440111  2.22440077  0.          0.          0.        ]
 [ 0.         -2.22440153  2.22440077  0.          0.        ]
 [ 0.          0.         -2.22440156  0.          0.        ]
 [ 0.          0.          0.         -0.77084064  0.77084027]
 [ 0.          0.          0.          0.         -0.77084123]]","[[3.44941585e-07 1.05070257e-16 6.49003272e-17 8.06230444e-17
  3.02780789e-17]
 [7.59348698e-07 8.03490641e-17 1.37246171e-16 5.61142346e-17
  5.42897963e-17]
 [2.22439643e+00 1.83413434e-17 9.51712229e-18 5.12836305e-06
  3.97459663e-17]
 [3.72452916e-07 2.41218231e-16 2.23315789e-16 4.40675989e-17
  1.31248401e-16]
 [3.56341841e-15 4.28328610e-17 1.41324396e-16 7.70841231e-01
  1.26804249e-16]]","[[-40.03241736  40.03241736   0.           0.           0.
    0.           0.           0.        ]
 [  0.         -40.03241736  40.03241736   0.           0.
    0.           0.           0.        ]
 [  0.           0.         -40.03241736  40.03241736   0.
    0.           0.           0.        ]
 [  0.           0.           0.         -40.03241736   0.
    0.           0.           0.        ]
 [  0.           0.           0.           0.          -0.51729589
    0.51729589   0.           0.        ]
 [  0.           0.           0.           0.           0.
   -0.51729589   0.51729589   0.        ]
 [  0.           0.           0.           0.           0.
    0.          -0.51729589   0.51729589]
 [  0.           0.           0.           0.           0.
    0.           0.          -0.51729589]]","[0.7514486 0.        0.        0.        0.2485514 0.        0.
 0.       ]",2.378700311224061,0.4203976412166893,0.7413920468776485,1.5699354565174173,0.071492444626692,5,1.9970122581917529,0.5007480529465934,1.9132246951107903,2.152338704403033,8,0.839539242824627,False,10.334899519419917,0.8878152460292056,3.8573507307350114,0.09333699000126217,5.0,440,0.0,0.0,0.0,0.0
