,sta_where_packets_arrive,simulation_type,num_generated_packets,mode,num_stations,queue_capacity,mean_arrival_time,std_arrival_time,bitrate,mean_packet_size,std_mean_packet_size,delivery_prob,e2e_delay,e2e_delay_std,mean_service_time,rho
0,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,16,9,54.959,44.005,55.675,2105.642,2371.305,0.00334501433577572,7327.057918470174,846.2947064856596,37.82024247867085,0.6881537596876007
1,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,18,5,51.482,55.387,59.819,2192.636,2059.124,0.0010720028586742592,4315.006044998481,327.5111154201997,32.3265466064434,0.6279194010808321
2,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,4,8,47.796,58.292,57.832,2101.627,2004.694,0.22836993753777957,1036.916417004366,285.62540500494424,33.06528954522425,0.6918003503478168
3,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,9,56.338,58.59,57.88,2013.203,2089.565,0.009514515735545293,4833.638166939684,495.391590714544,34.78236005528681,0.6173871996749407
4,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,18,5,54.309,43.826,56.61,2243.784,2293.139,0.0016417365924844551,5511.003983698118,669.9478845286897,39.635824059353475,0.7298205464905168
5,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,9,6,51.381,48.173,54.409,2306.671,2158.035,0.011540526033279708,2558.494723318988,447.45726811411464,37.10740364639599,0.7222008844980827
6,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,10,43.908,42.697,60.811,2082.52,2234.905,0.002775431398576056,5421.727763050961,611.1359394232917,34.245777902024315,0.7799439259821517
7,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,19,10,52.778,48.541,57.926,2360.921,2383.751,0.0,0.0,0.0,40.75753547629734,0.772244789046522
8,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,6,10,53.748,53.939,50.169,2334.956,2154.162,0.06375249742689348,2701.5713726890226,466.26463423860645,39.61344161130322,0.7370216865986311
9,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,19,9,44.473,56.806,60.132,2302.374,2032.798,0.0007532956685498693,7241.980255600412,644.0437882328599,29.847429045820707,0.6711359486839364
10,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,20,5,57.233,50.054,54.688,2382.392,2363.783,0.0,0.0,0.0,43.56334113516676,0.7611577435250076
11,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,11,5,58.724,52.577,59.394,2147.601,2184.017,0.0060552680832324235,3013.6312516909866,648.6883809488013,36.15855136882514,0.6157372006134654
12,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,5,5,54.576,52.268,53.329,2006.359,2124.994,0.09402561163984258,1114.8467377500072,313.5356284285935,37.62228806090495,0.6893559084745117
13,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,8,53.311,47.914,56.875,2212.293,2295.589,0.0017812611328821282,4765.044568237171,439.03048380934507,38.89745934065936,0.7296328964127359
